i4,c10,c15,i1,r4
1,ethan,halford,15,1.88
2,han,biliris,60,1.82
3,leonard,solo,14,1.55
4,hila,hanks,48,1.70
5,ludwig,hetfield,31,1.92
6,jack,cooper,33,1.67
7,alex,bellovin,16,1.70
8,luis,becker,58,1.93
9,james,becker,20,1.52
10,ashish,bush,30,1.60
11,vaggelis,polychroniou,34,1.99
12,spock,geambasu,16,1.86
13,pam,hofstadter,55,1.77
14,rocco,chen,35,1.92
15,barack,hetfield,55,1.55
16,han,polychroniou,57,1.92
17,tom,beethoven,34,1.56
18,orestis,malkin,14,1.94
19,luis,hofstadter,56,1.52
20,leia,gravano,25,1.51
21,leia,yannakakis,20,1.60
22,sheldon,kardashian,44,1.85
23,tom,sitaridi,56,1.53
24,steven,cohen,51,1.92
25,jack,cohen,25,1.64
26,barack,cohen,53,1.69
27,sheldon,hoare,18,1.88
28,ludwig,solo,57,1.99
29,bruce,halford,47,1.56
30,simha,obama,56,1.95
31,daniel,ross,52,1.65
32,simha,geambasu,14,1.57
33,rocco,bellovin,26,1.94
34,james,dickinson,11,1.83
35,dhaval,welles,50,1.59
36,aaron,yannakakis,34,1.87
37,hila,paparas,33,1.85
38,michael,bush,21,1.93
39,pam,morrison,53,1.77
40,kenneth,geambasu,26,1.72
41,aaron,hofstadter,43,1.82
42,tal,cohen,19,1.84
43,kanna,morrison,53,2.00
44,david,papadimitriou,23,1.92
45,james,halford,18,1.60
46,leonard,rhoads,16,1.69
47,dimitris,cooper,59,1.99
48,kim,bellovin,19,1.65
49,han,obama,22,1.92
50,xi,becker,29,1.71
51,angelina,skywalker,26,1.87
52,sebastian,geambasu,42,1.53
53,ioannis,stonebraker,17,1.90
54,leia,polychroniou,37,1.88
55,bruce,beethoven,44,1.75
56,jim,cooper,25,1.68
57,alex,solo,30,1.51
58,angus,welles,36,1.90
59,orestis,spielberg,31,1.66
60,adam,hanks,40,1.52
61,angus,stonebraker,34,1.87
62,james,hoare,39,1.50
63,james,dewitt,24,1.87
64,randy,geambasu,60,1.79
65,sheldon,becker,32,1.70
66,luis,becker,27,1.72
67,xi,bach,46,1.89
68,anakin,bellovin,24,1.65
69,hila,hoare,16,1.88
70,cliff,ross,44,1.85
71,james,hellerstein,38,1.98
72,joseph,organa,49,1.52
73,ludwig,stonebraker,40,1.85
74,daniel,geambasu,48,1.97
75,alex,chen,34,1.73
76,angelica,hofstadter,41,1.88
77,randy,yannakakis,49,1.62
78,luis,servedio,10,1.97
79,jack,osbourne,28,1.53
80,hila,yannakakis,33,1.81
81,adam,stonebraker,15,1.52
82,dimitris,skywalker,24,1.67
83,steven,polychroniou,42,1.88
84,orestis,osbourne,50,1.87
85,ioannis,polychroniou,21,1.78
86,jeff,katz,21,1.61
87,ludwig,smith,21,1.53
88,hila,spielberg,29,1.58
89,kenneth,sitaridi,30,1.99
90,joseph,organa,50,1.84
91,simha,chen,15,1.96
92,cliff,organa,55,1.95
93,jack,cooper,60,1.80
94,luke,stonebraker,47,1.61
95,anakin,smith,58,1.72
96,david,dickinson,32,1.92
97,aaron,osbourne,31,1.93
98,daniel,bach,18,1.61
99,dhaval,servedio,27,1.63
100,bruce,bach,29,1.86
101,jeremy,papadimitriou,58,1.68
102,leonard,servedio,45,1.84
103,adam,kardashian,50,1.56
104,luis,polychroniou,33,1.87
105,dhaval,biliris,26,1.94
106,aaron,bach,10,1.99
107,george,hofstadter,33,1.93
108,dimitris,biliris,57,1.92
109,cliff,malkin,58,1.94
110,david,ross,14,1.56
111,daniel,cohen,25,1.95
112,luke,cohen,30,1.62
113,malcolm,spielberg,47,1.86
114,angus,geambasu,29,1.62
115,angelina,malkin,23,1.92
116,tom,paparas,32,1.59
117,barack,hoare,14,1.94
118,han,bach,44,1.59
119,barack,hanks,30,1.73
120,james,dewitt,51,1.90
121,spock,stonebraker,33,1.51
122,tal,malkin,12,1.92
123,hila,biliris,57,1.65
124,jim,bush,43,1.93
125,ioannis,hanks,12,1.61
126,kim,smith,57,1.60
